Time:2023-05-16 00:23:43, [Info] Start the program., Group:, Alias:test, URL:./0325__12__0.mp4 
Time:2023-05-16 00:24:12, [Info] Start the program., Group:, Alias:test, URL:./0325__12__0.mp4 
Time:2023-05-16 00:26:05, [Info] Start the program., Group:, Alias:test, URL:./0325__12__0.mp4 
Time:2023-05-16 00:26:55, [Error] prediction() function error:'Tracker' object has no attribute 'H', Group:, Alias:test, URL:./0325__12__0.mp4 
Time:2023-05-16 00:26:55, [Error] prediction() function error:'Tracker' object has no attribute 'H', Group:, Alias:test, URL:./0325__12__0.mp4 
Time:2023-05-16 00:26:55, [Error] prediction() function error:'Tracker' object has no attribute 'H', Group:, Alias:test, URL:./0325__12__0.mp4 
Time:2023-05-16 00:26:55, [Error] prediction() function error:'Tracker' object has no attribute 'H', Group:, Alias:test, URL:./0325__12__0.mp4 
Time:2023-05-16 00:26:56, [Error] prediction() function error:'Tracker' object has no attribute 'H', Group:, Alias:test, URL:./0325__12__0.mp4 
Time:2023-05-16 00:26:56, [Error] prediction() function error:'Tracker' object has no attribute 'H', Group:, Alias:test, URL:./0325__12__0.mp4 
Time:2023-05-16 00:26:56, [Error] prediction() function error:'Tracker' object has no attribute 'H', Group:, Alias:test, URL:./0325__12__0.mp4 
Time:2023-05-16 00:26:56, [Error] prediction() function error:'Tracker' object has no attribute 'H', Group:, Alias:test, URL:./0325__12__0.mp4 
Time:2023-05-16 00:26:56, [Error] prediction() function error:'Tracker' object has no attribute 'H', Group:, Alias:test, URL:./0325__12__0.mp4 
Time:2023-05-16 00:26:56, [Error] prediction() function error:'Tracker' object has no attribute 'H', Group:, Alias:test, URL:./0325__12__0.mp4 
Time:2023-05-16 00:26:57, [Error] prediction() function error:'Tracker' object has no attribute 'H', Group:, Alias:test, URL:./0325__12__0.mp4 
Time:2023-05-16 00:26:57, [Error] prediction() function error:'Tracker' object has no attribute 'H', Group:, Alias:test, URL:./0325__12__0.mp4 
Time:2023-05-16 00:26:57, [Error] prediction() function error:'Tracker' object has no attribute 'H', Group:, Alias:test, URL:./0325__12__0.mp4 
Time:2023-05-16 00:26:57, [Error] prediction() function error:'Tracker' object has no attribute 'H', Group:, Alias:test, URL:./0325__12__0.mp4 
Time:2023-05-16 00:26:57, [Error] prediction() function error:'Tracker' object has no attribute 'H', Group:, Alias:test, URL:./0325__12__0.mp4 
Time:2023-05-16 00:26:57, [Error] prediction() function error:'Tracker' object has no attribute 'H', Group:, Alias:test, URL:./0325__12__0.mp4 
Time:2023-05-16 00:26:58, [Error] prediction() function error:'Tracker' object has no attribute 'H', Group:, Alias:test, URL:./0325__12__0.mp4 
Time:2023-05-16 00:26:58, [Error] prediction() function error:'Tracker' object has no attribute 'H', Group:, Alias:test, URL:./0325__12__0.mp4 
Time:2023-05-16 00:26:58, [Error] prediction() function error:'Tracker' object has no attribute 'H', Group:, Alias:test, URL:./0325__12__0.mp4 
Time:2023-05-16 00:26:58, [Error] prediction() function error:'Tracker' object has no attribute 'H', Group:, Alias:test, URL:./0325__12__0.mp4 
Time:2023-05-16 00:26:58, [Error] prediction() function error:'Tracker' object has no attribute 'H', Group:, Alias:test, URL:./0325__12__0.mp4 
Time:2023-05-16 00:26:58, [Error] prediction() function error:'Tracker' object has no attribute 'H', Group:, Alias:test, URL:./0325__12__0.mp4 
Time:2023-05-16 00:26:59, [Error] prediction() function error:'Tracker' object has no attribute 'H', Group:, Alias:test, URL:./0325__12__0.mp4 
Time:2023-05-16 00:26:59, [Error] prediction() function error:'Tracker' object has no attribute 'H', Group:, Alias:test, URL:./0325__12__0.mp4 
Time:2023-05-16 00:26:59, [Error] prediction() function error:'Tracker' object has no attribute 'H', Group:, Alias:test, URL:./0325__12__0.mp4 
Time:2023-05-16 02:08:05, [Info] Start the program., Group:, Alias:test, URL:./0325__12__0.mp4 
Time:2023-05-16 02:08:55, [Error] prediction() function error:unsupported operand type(s) for -: 'NoneType' and 'int', Group:, Alias:test, URL:./0325__12__0.mp4 
Time:2023-05-16 02:08:55, [Error] prediction() function error:unsupported operand type(s) for -: 'NoneType' and 'int', Group:, Alias:test, URL:./0325__12__0.mp4 
Time:2023-05-16 02:08:55, [Error] prediction() function error:unsupported operand type(s) for -: 'NoneType' and 'int', Group:, Alias:test, URL:./0325__12__0.mp4 
Time:2023-05-16 02:08:55, [Error] prediction() function error:unsupported operand type(s) for -: 'NoneType' and 'int', Group:, Alias:test, URL:./0325__12__0.mp4 
Time:2023-05-16 02:08:56, [Error] prediction() function error:unsupported operand type(s) for -: 'NoneType' and 'int', Group:, Alias:test, URL:./0325__12__0.mp4 
Time:2023-05-16 02:08:56, [Error] prediction() function error:unsupported operand type(s) for -: 'NoneType' and 'int', Group:, Alias:test, URL:./0325__12__0.mp4 
Time:2023-05-16 02:08:56, [Error] prediction() function error:unsupported operand type(s) for -: 'NoneType' and 'int', Group:, Alias:test, URL:./0325__12__0.mp4 
Time:2023-05-16 02:08:56, [Error] prediction() function error:unsupported operand type(s) for -: 'NoneType' and 'int', Group:, Alias:test, URL:./0325__12__0.mp4 
Time:2023-05-16 02:08:56, [Error] prediction() function error:unsupported operand type(s) for -: 'NoneType' and 'int', Group:, Alias:test, URL:./0325__12__0.mp4 
Time:2023-05-16 02:08:56, [Error] prediction() function error:unsupported operand type(s) for -: 'NoneType' and 'int', Group:, Alias:test, URL:./0325__12__0.mp4 
Time:2023-05-16 02:08:56, [Error] prediction() function error:unsupported operand type(s) for -: 'NoneType' and 'int', Group:, Alias:test, URL:./0325__12__0.mp4 
Time:2023-05-16 02:08:57, [Error] prediction() function error:unsupported operand type(s) for -: 'NoneType' and 'int', Group:, Alias:test, URL:./0325__12__0.mp4 
Time:2023-05-16 02:08:57, [Error] prediction() function error:unsupported operand type(s) for -: 'NoneType' and 'int', Group:, Alias:test, URL:./0325__12__0.mp4 
Time:2023-05-16 02:08:57, [Error] prediction() function error:unsupported operand type(s) for -: 'NoneType' and 'int', Group:, Alias:test, URL:./0325__12__0.mp4 
Time:2023-05-16 02:08:57, [Error] prediction() function error:unsupported operand type(s) for -: 'NoneType' and 'int', Group:, Alias:test, URL:./0325__12__0.mp4 
Time:2023-05-16 02:10:00, [Info] Start the program., Group:, Alias:test, URL:./0325__12__0.mp4 
Time:2023-05-16 02:10:31, [Error] prediction() function error:'Tracker' object has no attribute 'detect_target', Group:, Alias:test, URL:./0325__12__0.mp4 
Time:2023-05-16 02:10:31, [Error] prediction() function error:'Tracker' object has no attribute 'detect_target', Group:, Alias:test, URL:./0325__12__0.mp4 
Time:2023-05-16 02:10:31, [Error] prediction() function error:'Tracker' object has no attribute 'detect_target', Group:, Alias:test, URL:./0325__12__0.mp4 
Time:2023-05-16 02:10:31, [Error] prediction() function error:'Tracker' object has no attribute 'detect_target', Group:, Alias:test, URL:./0325__12__0.mp4 
Time:2023-05-16 02:10:31, [Error] prediction() function error:'Tracker' object has no attribute 'detect_target', Group:, Alias:test, URL:./0325__12__0.mp4 
Time:2023-05-16 02:10:31, [Error] prediction() function error:'Tracker' object has no attribute 'detect_target', Group:, Alias:test, URL:./0325__12__0.mp4 
Time:2023-05-16 02:10:31, [Error] prediction() function error:'Tracker' object has no attribute 'detect_target', Group:, Alias:test, URL:./0325__12__0.mp4 
Time:2023-05-16 02:10:32, [Error] prediction() function error:'Tracker' object has no attribute 'detect_target', Group:, Alias:test, URL:./0325__12__0.mp4 
Time:2023-05-16 02:10:32, [Error] prediction() function error:'Tracker' object has no attribute 'detect_target', Group:, Alias:test, URL:./0325__12__0.mp4 
Time:2023-05-16 02:10:32, [Error] prediction() function error:'Tracker' object has no attribute 'detect_target', Group:, Alias:test, URL:./0325__12__0.mp4 
Time:2023-05-16 02:10:32, [Error] prediction() function error:'Tracker' object has no attribute 'detect_target', Group:, Alias:test, URL:./0325__12__0.mp4 
Time:2023-05-16 02:10:32, [Error] prediction() function error:'Tracker' object has no attribute 'detect_target', Group:, Alias:test, URL:./0325__12__0.mp4 
Time:2023-05-16 02:10:32, [Error] prediction() function error:'Tracker' object has no attribute 'detect_target', Group:, Alias:test, URL:./0325__12__0.mp4 
Time:2023-05-16 02:10:32, [Error] prediction() function error:'Tracker' object has no attribute 'detect_target', Group:, Alias:test, URL:./0325__12__0.mp4 
